feature,jury_gain,tele_gain,signal_group,jury_pct,tele_pct
poll_top3,0.21367644,0.03809935,B_community_poll,21.367643,3.8099349
eurojury_norm,0.14977486,0.04669401,G_eurojury,14.977487,4.669401
eurojury_top3,0.11779511,0.015123413,G_eurojury,11.7795105,1.5123413
sf_rank_norm,0.06588033,0.09031818,E_contest_context,6.5880327,9.031818
hist_tele_norm,0.04294115,0.039343543,E_contest_context,4.294115,3.9343543
views_rank_norm,0.038148355,0.24495564,C_youtube,3.8148355,24.495564
hist_jury_norm,0.036575757,0.042780124,E_contest_context,3.6575756,4.2780123
ever_gave_12_jury,0.03620858,0.012652363,A_historical_voting,3.6208582,1.2652363
poll_score_norm,0.035959322,0.030896924,B_community_poll,3.5959322,3.0896924
log_views,0.03519779,0.098613776,C_youtube,3.519779,9.861378
running_order_late,0.02625729,0.02379567,E_contest_context,2.6257288,2.379567
tele_bias_5y,0.025764825,0.04822381,A_historical_voting,2.5764825,4.822381
running_order_norm,0.025015896,0.032159414,E_contest_context,2.5015895,3.2159414
geo_proximity,0.024684083,0.031132117,A_historical_voting,2.4684083,3.1132116
jury_bias_5y,0.023709951,0.018077025,A_historical_voting,2.370995,1.8077025
tele_bias_3y,0.022527087,0.069200754,A_historical_voting,2.2527087,6.9200754
is_english,0.022299262,0.035125427,E_contest_context,2.229926,3.5125427
diaspora_norm,0.021517182,0.036384076,A_historical_voting,2.1517181,3.6384077
jury_bias_3y,0.019447621,0.015641226,A_historical_voting,1.9447621,1.5641226
ever_gave_12_tele,0.016619148,0.03078317,A_historical_voting,1.6619148,3.0783172
